cons,averageTTL,active,life,domainName,target
1,49,7.79192334,10.00136893,softcatalog.info,0
1,50,12.00273785,13.99863107,vividlife.me,0
1,49,16.0164271,16.99931554,just2guys.net,0
1,47,20.00273785,20.99931554,cadoro.org,0
1,50,23.11019849,23.99726215,careergear.org,0
1,52,21.96030116,23.00068446,vermontartscouncil.org,0
1,49,18.4202601,23.00068446,westernlaw.org,0
1,46,12,12.99931554,breal.tv,0
1,56,23.00068446,24,jujube.com,0
1,104,4.413415469,4.999315537,ketiss.com,0
1,46,17.38261465,19.37850787,northwoodmfg.com,0
1,115,0,0.999315537,wildcaribe.com,0
1,116,10.17932923,13.00205339,decaptcher.info,0
1,56,4.002737851,4.999315537,buycheaplikesandfollowers.com,0
1,47,12.98562628,13.99863107,etamcru.com,0
1,46,14.00684463,16,mod-sales.com,0
1,43,15.00342231,16,ultimacodex.com,0
1,56,0.114989733,0.999315537,zlatniky.com,0
1,49,19.96167009,20.99931554,diptera.info,0
1,56,7.123887748,8,mundotecnico.info,0
1,47,23.9945243,24.99657769,americascores.org,0
1,56,18.92128679,20.99657769,mec.biz,0
1,42,24.89801506,24.99657769,duerrdental.com,0
1,40,13.00205339,13.99863107,kansaslan.com,0
1,52,19.00342231,20,mbjairport.com,0
1,56,8.993839836,11.99726215,mixtapemonkey.com,0
1,47,14.60643395,16.99931554,morgand.com,0
1,48,9.960301164,11.00068446,qwikad.com,0
1,56,7.000684463,8,rantt.com,0
1,103,4.002737851,4.999315537,toto-noriter.com,0
1,56,9.002053388,9.998631075,ugetfix.com,0
1,49,6.959616701,8,storejextensions.org,0
1,241,4.03559206,4.999315537,ballet-fun.com,0
1,54,16.42162902,16.99931554,designersagainstaids.com,0
1,240,23.91238877,24.99657769,madeinsport.com,0
1,48,0,0.999315537,markemusic.com,0
1,50,13.94661191,16,mindanaoexaminer.com,0
1,50,3.975359343,5.067761807,inolam-formation.fr,0
1,39,0.134154689,0.999315537,onlinelevitraprices.site,0
2,51,21.41273101,22.40930869,illnino.com,0
1,56,0.224503765,1.998631075,picozu.com,0
1,119,0.002737851,0.999315537,technewsstore.com,0
1,45,6.915811088,8,scuolagrandesanrocco.org,0
1,35,22.90485969,24,dehavilland.co.uk,0
1,46,15.91512663,17.99589322,analoguehaven.com,0
1,43,17.07871321,17.99863107,desdeelexilio.com,0
1,56,12.00273785,12.99931554,mitikamenon.com,0
